model,benchmark,benchmark_key,accuracy_pct,correct,total,source_run,folder
gpt-oss-20b,MMLU,mmlu,83.0%,83,100,/Users/yenhaohuang/Desktop/model-tester/gpt-oss-20b-gguf/runs/20260307_125451_fasttextgenevalset2_mmlu,gpt-oss-20b/MMLU__mmlu
gpt-oss-20b,GSM8K,gsm8k,94.0%,94,100,/Users/yenhaohuang/Desktop/model-tester/gpt-oss-20b-gguf/runs/20260307_131727_fasttextgenevalset2_gsm8k,gpt-oss-20b/GSM8K__gsm8k
gpt-oss-20b,geo-mmlu,geo-mmlu-high-school,88.0%,88,100,/Users/yenhaohuang/Desktop/model-tester/gpt-oss-20b-gguf/runs/20260307_133912_fasttextgenevalset2_geo-mmlu-high-school,gpt-oss-20b/geo-mmlu__geo-mmlu-high-school
gpt-oss-20b,law-mmlu,law-mmlu-professional,51.0%,51,100,/Users/yenhaohuang/Desktop/model-tester/gpt-oss-20b-gguf/runs/20260307_135147_fasttextgenevalset2_law-mmlu-professional,gpt-oss-20b/law-mmlu__law-mmlu-professional
gpt-oss-20b,HumanEval,humaneval,96.0%,96,100,/Users/yenhaohuang/Desktop/model-tester/gpt-oss-20b-gguf/runs/20260307_145155_fasttextgenevalset2_humaneval,gpt-oss-20b/HumanEval__humaneval
glm4.7-flash,MMLU,mmlu,72.0%,72,100,/Users/yenhaohuang/Desktop/model-tester/glm-4.7-flash-fp4/runs/20260307_152832_fasttextgenevalset2_mmlu,glm4.7-flash/MMLU__mmlu
glm4.7-flash,GSM8K,gsm8k,92.0%,92,100,/Users/yenhaohuang/Desktop/model-tester/glm-4.7-flash-fp4/runs/20260307_152958_fasttextgenevalset2_gsm8k,glm4.7-flash/GSM8K__gsm8k
glm4.7-flash,geo-mmlu,geo-mmlu-high-school,86.0%,86,100,/Users/yenhaohuang/Desktop/model-tester/glm-4.7-flash-fp4/runs/20260307_154146_fasttextgenevalset2_geo-mmlu-high-school,glm4.7-flash/geo-mmlu__geo-mmlu-high-school
glm4.7-flash,law-mmlu,law-mmlu-professional,54.0%,54,100,/Users/yenhaohuang/Desktop/model-tester/glm-4.7-flash-fp4/runs/20260307_154245_fasttextgenevalset2_law-mmlu-professional,glm4.7-flash/law-mmlu__law-mmlu-professional
glm4.7-flash,HumanEval,humaneval,76.0%,76,100,/Users/yenhaohuang/Desktop/model-tester/glm-4.7-flash-fp4/runs/20260307_154444_fasttextgenevalset2_humaneval,glm4.7-flash/HumanEval__humaneval
qwen3.5-35b-a3b,MMLU,mmlu,83.0%,83,100,/Users/yenhaohuang/Desktop/model-tester/qwen3.5_35b_a3b/runs/20260307_155157_fasttextgenevalset2_mmlu,qwen3.5-35b-a3b/MMLU__mmlu
qwen3.5-35b-a3b,GSM8K,gsm8k,95.0%,95,100,/Users/yenhaohuang/Desktop/model-tester/qwen3.5_35b_a3b/runs/20260307_155337_fasttextgenevalset2_gsm8k,qwen3.5-35b-a3b/GSM8K__gsm8k
qwen3.5-35b-a3b,geo-mmlu,geo-mmlu-high-school,95.0%,95,100,/Users/yenhaohuang/Desktop/model-tester/qwen3.5_35b_a3b/runs/20260307_162211_fasttextgenevalset2_geo-mmlu-high-school,qwen3.5-35b-a3b/geo-mmlu__geo-mmlu-high-school
qwen3.5-35b-a3b,law-mmlu,law-mmlu-professional,68.0%,68,100,/Users/yenhaohuang/Desktop/model-tester/qwen3.5_35b_a3b/runs/20260307_162324_fasttextgenevalset2_law-mmlu-professional,qwen3.5-35b-a3b/law-mmlu__law-mmlu-professional
qwen3.5-35b-a3b,HumanEval,humaneval,92.0%,92,100,/Users/yenhaohuang/Desktop/model-tester/qwen3.5_35b_a3b/runs/20260307_162542_fasttextgenevalset2_humaneval,qwen3.5-35b-a3b/HumanEval__humaneval
lfm2-24b,MMLU,mmlu,74.0%,74,100,/Users/yenhaohuang/Desktop/model-tester/lfm2-24b/runs/20260306_114503_fasttextgenevalset2_500q,lfm2-24b/MMLU__mmlu
lfm2-24b,GSM8K,gsm8k,86.0%,86,100,/Users/yenhaohuang/Desktop/model-tester/lfm2-24b/runs/20260306_114503_fasttextgenevalset2_500q,lfm2-24b/GSM8K__gsm8k
lfm2-24b,geo-mmlu,geo-mmlu-high-school,81.0%,81,100,/Users/yenhaohuang/Desktop/model-tester/lfm2-24b/runs/20260306_114503_fasttextgenevalset2_500q,lfm2-24b/geo-mmlu__geo-mmlu-high-school
lfm2-24b,law-mmlu,law-mmlu-professional,57.0%,57,100,/Users/yenhaohuang/Desktop/model-tester/lfm2-24b/runs/20260306_114503_fasttextgenevalset2_500q,lfm2-24b/law-mmlu__law-mmlu-professional
lfm2-24b,HumanEval,humaneval,80.0%,80,100,/Users/yenhaohuang/Desktop/model-tester/lfm2-24b/runs/20260306_114503_fasttextgenevalset2_500q,lfm2-24b/HumanEval__humaneval
